ItemType	Code	Equiv1	Equiv2	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
a069	a069			id2 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a070	a070			id2 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a071	a071			id2 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a072	a072			id2 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a073	a073			id2 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a074	a074			id2 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a075	a075			id2 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a076	a076			id2 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a077	a077			id2 lev60	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a078	a078			id2 lev61	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a079	a079			id2 lev62	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a080	a080			id2 lev63	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a081	a081			id3 lev0	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a082	a082			id3 lev1	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a083	a083			id3 lev2	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a084	a084			id3 lev3	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a085	a085			id3 lev4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a086	a086			id3 lev5	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a087	a087			id3 lev6	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a088	a088			id3 lev7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a089	a089			id3 lev8	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a090	a090			id3 lev9	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a091	a091			id3 lev10	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a092	a092			id3 lev11	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a093	a093			id3 lev12	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a094	a094			id3 lev13	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a095	a095			id3 lev14	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a096	a096			id3 lev15	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a097	a097			id3 lev16	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a098	a098			id3 lev17	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a099	a099			id3 lev18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a100	a100			id3 lev19	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a101	a101			id3 lev20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a102	a102			id3 lev21	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a103	a103			id3 lev22	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a104	a104			id3 lev23	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a105	a105			id3 lev24	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a106	a106			id3 lev25	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a107	a107			id3 lev26	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a108	a108			id3 lev27	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a109	a109			id3 lev28	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a110	a110			id3 lev29	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a111	a111			id3 lev30	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a112	a112			id3 lev31	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a113	a113			id3 lev32	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a114	a114			id3 lev33	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a115	a115			id3 lev34	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a116	a116			id3 lev35	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a117	a117			id3 lev36	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a118	a118			id3 lev37	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a119	a119			id3 lev38	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a120	a120			id3 lev39	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a121	a121			id3 lev40	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a122	a122			id3 lev41	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a123	a123			id3 lev42	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a124	a124			id3 lev43	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a125	a125			id3 lev44	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a126	a126			id3 lev45	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a127	a127			id3 lev46	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a128	a128			id3 lev47	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a129	a129			id3 lev48	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a130	a130			id3 lev49	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a131	a131			id3 lev50	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a132	a132			id3 lev51	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a133	a133			id3 lev52	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a134	a134			id3 lev53	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a135	a135			id3 lev54	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a136	a136			id3 lev55	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a137	a137			id3 lev56	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a138	a138			id3 lev57	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a139	a139			id3 lev58	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
a140	a140			id3 lev59	0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
